Profile,Latest Post,Timestamp,Post Link
"=HYPERLINK(""https://www.linkedin.com/in/hussainsajwani"", ""Hussainsajwani"")","It was a pleasure to join Bloomberg’s Horizons Middle East and Africa to announce PRYPCO’s Pre-Series A round, led by General Catalyst, one of the world’s larg…","1w • 
 
1 week ago","=HYPERLINK(""https://www.linkedin.com/posts/amira-sajwani_prypco-generalcatalyst-investment-ugcPost-7370750111833997312-XAwd?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/jinesh-nair-1b622a12"", ""Jinesh Nair 1b622a12"")",Launch of another landmark by Damac Properties in Damac Hills 1 DAMAC DISTRICT,"1w • Edited • 
 
1 week ago • Edited","=HYPERLINK(""https://www.linkedin.com/posts/jinesh-nair-1b622a12_launch-of-another-landmark-by-damac-properties-activity-7369634553042309124-hwLL?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/russmbrown"", ""Russmbrown"")",Looking forward to seeing everyone at Platform Global in Antibes from tomorrow. Do reach out to catch up. hashtag #PlatformGlobal hashtag #DataCenters,"1w • 
 
1 week ago","=HYPERLINK(""https://www.linkedin.com/posts/russmbrown_platformglobal-datacenters-activity-7370163550339739648-M1ne?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/trupti-shetty-98273b4a"", ""Trupti Shetty 98273b4a"")",💼 Data Center Manager role open! Ready to lead and innovate? Apply now or tag someone who’s perfect! Airida Mockute,"19h • 
 
19 hours ago","=HYPERLINK(""https://www.linkedin.com/posts/activity-7374056064314486784-G6yc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/young-kwon-43900932"", ""Young Kwon 43900932"")","The wait is over, DAMAC District is here! A new destination where live, work, and play opportunities come together. Designed to bring people together, it is a…","1w • 
 
1 week ago","=HYPERLINK(""https://www.linkedin.com/posts/damac-properties_damac-damacdistrict-ugcPost-7371429777871822848-pvh1?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/siddharthjain-cfa"", ""Siddharthjain Cfa"")","Big news from PRYPCO! General Catalyst has led PRYPCO’s Pre-Series A round, marking a key milestone in our vision to enable Real Estate Freedom for all. 🚀 This…","1w • Edited • 
 
1 week ago • Edited","=HYPERLINK(""https://www.linkedin.com/posts/prypcocom_prypco-dubairealestate-mena-activity-7370773163187621888-71hO?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/jenniffer-a-59a143170"", ""Jenniffer A 59a143170"")",Thrilled to be part of our recent Technology Townhall 🚀 where we explored how AI is transforming business and why it’s vital for each of us to step up and be a…,"1w • 
 
1 week ago","=HYPERLINK(""https://www.linkedin.com/posts/jenniffer-a-59a143170_damac-technologytownhall-activity-7369682938109579264-2Ow7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/hany-kotat-20755817"", ""Hany Kotat 20755817"")","We Lead Where Others Follow After months of anticipation, we’re thrilled to announce the upcoming launch of DAMAC’s first master community in Baghdad! 🇮🇶✨ This…","1d • 
 
1 day ago","=HYPERLINK(""https://www.linkedin.com/posts/hany-kotat-20755817_damac-baghdad-realestate-activity-7373974562390052864-j3jl?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/gernega"", ""Gernega"")","It’s always rewarding to see a collective effort realised and shared through a video about DAMAC Properties’ next development in DAMAC Hills, which I had the p…","2d • 
 
2 days ago","=HYPERLINK(""https://www.linkedin.com/posts/emjayfernandez_its-always-rewarding-to-see-a-collective-ugcPost-7373611515305689089-Yn7p?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
"=HYPERLINK(""https://www.linkedin.com/in/komal-chheda-data-analytics"", ""Komal Chheda Data Analytics"")","If wealth had a passport, it would say: UAE. Why are global companies obsessed with Dubai? Well, for starters, it gives access to two billion people in one reg…","1d • 
 
1 day ago","=HYPERLINK(""https://www.linkedin.com/posts/komal-chheda-data-analytics_dubai-business-uae-activity-7373932413619523584-ypFX?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEFXEyMBG5uK0z83qLclkGoWqk2-WbtS1sg"", ""Link"")"
